date,date_ran,price,price_num,query_id,title,type,url
Dec 26,2014/01/02,$475,475.0,0,Full Leather couch set - great condition! ,furniture - by owner,boston.craigslist.org/gbs/fuo/4259492303.html
Dec 29,2014/01/02,$100,100.0,0,FUTON COUCH BED,furniture - by owner,boston.craigslist.org/gbs/fuo/4263358684.html
Dec 31,2014/01/02,$200,200.0,0,Ethan Allen couch table,furniture - by owner,boston.craigslist.org/gbs/fuo/4252348049.html
Dec 27,2014/01/02,$1075,1075.0,0,Ethan Allen couch and wing chair new lower price,furniture - by owner,boston.craigslist.org/sob/fuo/4261270099.html
Jan  2,2014/01/02,$400,400.0,0,ETHAN ALLEN Couch - traditional classics,furniture - by owner,boston.craigslist.org/gbs/fuo/4265866586.html
Dec 27,2014/01/02,$400,400.0,0,DESIGNER COUCH FOR SALE,furniture - by owner,boston.craigslist.org/gbs/fuo/4260607078.html
Dec 30,2014/01/02,$400,400.0,0,Crate & Barrel Couch (brown Axis),furniture - by owner,boston.craigslist.org/gbs/fuo/4265846364.html
Dec 31,2014/01/02,$400,400.0,0,Crate & Barrel Couch & Chaise Lounge,furniture - by owner,boston.craigslist.org/sob/fuo/4266115622.html
Dec 28,2014/01/02,$80,80.0,0,Country style Couch (Down filled cushions),furniture - by owner,boston.craigslist.org/gbs/fuo/4262448397.html
Dec 31,2014/01/02,$150,150.0,0,"Couch, oversizes chair & ottoman",furniture - by owner,boston.craigslist.org/bmw/fuo/4266350779.html
Dec 30,2014/01/02,$499,499.0,0,"Couch, Loveseat and Storage Ottoman!",furniture - by owner,boston.craigslist.org/gbs/fuo/4261622364.html
Jan  1,2014/01/02,$150,150.0,0,"Couch, Loveseat and Side tables",furniture - by owner,boston.craigslist.org/gbs/fuo/4267571408.html
Dec 26,2014/01/02,$40,40.0,0,Couch for Sale $40 OBO,furniture - by owner,boston.craigslist.org/gbs/fuo/4259213372.html
Dec 29,2014/01/02,$100,100.0,0,Couch and over-sized chair,furniture - by owner,boston.craigslist.org/gbs/fuo/4263659203.html
Jan  2,2014/01/02,$250,250.0,0,Couch and loveseat,furniture - by owner,boston.craigslist.org/sob/fuo/4260493380.html
Dec 30,2014/01/02,$80,80.0,0,Couch and love seat- good condition,furniture - by owner,boston.craigslist.org/nwb/fuo/4265670207.html
Jan  1,2014/01/02,$150,150.0,0,Couch and Loveseat,furniture - by owner,boston.craigslist.org/gbs/fuo/4268318299.html
Dec 30,2014/01/02,$200,200.0,0,Couch and Lovesear,furniture - by owner,boston.craigslist.org/bmw/fuo/4265702064.html
Dec 28,2014/01/02,$125,125.0,0,Couch For Sale - Newton,furniture - by owner,boston.craigslist.org/gbs/fuo/4261865908.html
Dec 30,2014/01/02,$100,100.0,0,Couch - Black Faux Leather,furniture - by owner,boston.craigslist.org/gbs/fuo/4265602719.html
Dec 27,2014/01/02,$500,500.0,0,Comfy couch & loveseat,furniture - by owner,boston.craigslist.org/nwb/fuo/4261342068.html
Dec 29,2014/01/02,$150,150.0,0,Click clack couch/futon,furniture - by owner,boston.craigslist.org/gbs/fuo/4263798523.html
Dec 30,2014/01/02,$50,50.0,0,COUCH,furniture - by owner,boston.craigslist.org/sob/fuo/4265489278.html
Jan  2,2014/01/02,$150,150.0,0,Brown wall couch perfect for space saving city apartments,furniture - by owner,boston.craigslist.org/bmw/fuo/4269723164.html
Dec 28,2014/01/02,$500,500.0,0,Brown Sofa Couch,furniture - by owner,boston.craigslist.org/gbs/fuo/4255057537.html
Dec 26,2014/01/02,$300,300.0,0,Brown Leather Couch- excellent condition,furniture - by owner,boston.craigslist.org/gbs/fuo/4260064465.html
Dec 26,2014/01/02,$250,250.0,0,Brown Leather Couch (IKEA),furniture - by owner,boston.craigslist.org/gbs/fuo/4259041301.html
Dec 29,2014/01/02,$250,250.0,0,Brown Leather Couch ,furniture - by owner,boston.craigslist.org/sob/fuo/4264290598.html
Dec 26,2014/01/02,$900,900.0,0,Brand New Couch,furniture - by owner,boston.craigslist.org/sob/fuo/4259287239.html
Dec 30,2014/01/02,$400,400.0,0,Boston Interiors Couch / Chair / Tables,furniture - by owner,boston.craigslist.org/sob/fuo/4264722024.html
Dec 31,2014/01/02,$200,200.0,0,Boston Interiors Couch ,furniture - by owner,boston.craigslist.org/sob/fuo/4266847495.html
Dec 28,2014/01/02,$30,30.0,0,Blue plaid print couch,furniture - by owner,boston.craigslist.org/nos/fuo/4262040099.html
Jan  1,2014/01/02,$125,125.0,0,Blue Leather Reclining Couch,furniture - by owner,boston.craigslist.org/nos/fuo/4267902739.html
Dec 28,2014/01/02,$750,750.0,0,Black Leather Couch and Recliner,furniture - by owner,boston.craigslist.org/bmw/fuo/4262945999.html
Dec 31,2014/01/02,$80,80.0,0,"Black Comfy Couch, in good shape,  Made of pleather",furniture - by owner,boston.craigslist.org/gbs/fuo/4263387273.html
Dec 27,2014/01/02,$80,80.0,0,Beige Leather Couch - Well Kept,furniture - by owner,boston.craigslist.org/gbs/fuo/4252874623.html
Dec 30,2014/01/02,$175,175.0,0,"Beautiful couch, only 2yrs old ",furniture - by owner,boston.craigslist.org/gbs/fuo/4265443080.html
