date,price,title,type,url,date_ran,query_id
Dec 26,$250,GREAT CLEAN COMFY COUCH/SOFA BEIGE/LINEN COLOR,furniture - by owner,boston.craigslist.org/nwb/fuo/4252573967.html,2014/01/02,0
Dec 27,$80,Beige Leather Couch - Well Kept,furniture - by owner,boston.craigslist.org/gbs/fuo/4252874623.html,2014/01/02,0
Dec 28,$500,Brown Sofa Couch,furniture - by owner,boston.craigslist.org/gbs/fuo/4255057537.html,2014/01/02,0
Dec 28,$220,large microfiber couch sofa,furniture - by owner,boston.craigslist.org/nos/fuo/4255104325.html,2014/01/02,0
Dec 29,$70,Standers Couch Cane,health and beauty - by owner,boston.craigslist.org/bmw/hab/4255141481.html,2014/01/02,0
Dec 27,$200,LEATHER COUCH,furniture - by owner,boston.craigslist.org/bmw/fuo/4255658181.html,2014/01/02,0
Dec 27,$350,micro-fiber couch,furniture - by owner,boston.craigslist.org/gbs/fuo/4255667071.html,2014/01/02,0
Jan  1,$795,Beautiful Comfortable Small Leather Couch,furniture - by dealer,boston.craigslist.org/nos/fud/4256132617.html,2014/01/02,0
Dec 26,$99,***Couch for sale - Good condition***,furniture - by owner,boston.craigslist.org/gbs/fuo/4259240327.html,2014/01/02,0
Jan  2,$150,Neutral Colored Couch - Seats 3,furniture - by owner,boston.craigslist.org/nos/fuo/4259300015.html,2014/01/02,0
Dec 26,$80,3 seater couch for Sale!!,furniture - by owner,boston.craigslist.org/nwb/fuo/4259362172.html,2014/01/02,0
Dec 26,$1000,Pottery Barn couch- new!,furniture - by owner,boston.craigslist.org/gbs/fuo/4259546732.html,2014/01/02,0
Dec 26,$850,Massive couch,furniture - by owner,boston.craigslist.org/gbs/fuo/4259599742.html,2014/01/02,0
Dec 26,$200,"couch , coffee table and 2 end tables for sale",furniture - by owner,boston.craigslist.org/gbs/fuo/4259668208.html,2014/01/02,0
Dec 26,$400,BLOOMINGDALES COUCH,furniture - by owner,boston.craigslist.org/gbs/fuo/4260008085.html,2014/01/02,0
Dec 26,$800,MITCHELL GOLD CHESTER COUCH-price reduced,furniture - by owner,boston.craigslist.org/bmw/fuo/4260219753.html,2014/01/02,0
Jan  2,$250,Couch and loveseat,furniture - by owner,boston.craigslist.org/sob/fuo/4260493380.html,2014/01/02,0
Dec 27,$400,DESIGNER COUCH FOR SALE,furniture - by owner,boston.craigslist.org/gbs/fuo/4260607078.html,2014/01/02,0
Dec 27,$999,Barrit Mid Century Modern couch and chair,antiques - by owner,boston.craigslist.org/gbs/atq/4261170235.html,2014/01/02,0
Dec 27,$1075,Ethan Allen couch and wing chair new lower price,furniture - by owner,boston.craigslist.org/sob/fuo/4261270099.html,2014/01/02,0
Dec 27,$500,Comfy couch & loveseat,furniture - by owner,boston.craigslist.org/nwb/fuo/4261342068.html,2014/01/02,0
Dec 30,$499,"Couch, Loveseat and Storage Ottoman!",furniture - by owner,boston.craigslist.org/gbs/fuo/4261622364.html,2014/01/02,0
Dec 27,$275,"nice in confortable set couch $$ 275,00",furniture - by owner,boston.craigslist.org/gbs/fuo/4261735619.html,2014/01/02,0
Jan  2,$375,Magnificent Victorian Couch,furniture - by owner,boston.craigslist.org/nos/fuo/4261862542.html,2014/01/02,0
Dec 28,$125,Couch For Sale - Newton,furniture - by owner,boston.craigslist.org/gbs/fuo/4261865908.html,2014/01/02,0
Dec 28,$30,Blue plaid print couch,furniture - by owner,boston.craigslist.org/nos/fuo/4262040099.html,2014/01/02,0
Dec 28,$150,Leather couch(s) ,furniture - by owner,boston.craigslist.org/sob/fuo/4262169576.html,2014/01/02,0
Dec 30,$100,Jordans Green Suede Full Couch --- Reduced,furniture - by owner,boston.craigslist.org/gbs/fuo/4262218968.html,2014/01/02,0
Dec 28,$150,LAZY BOY RECLINER COUCH,furniture - by owner,boston.craigslist.org/nwb/fuo/4262419541.html,2014/01/02,0
Dec 28,$80,Country style Couch (Down filled cushions),furniture - by owner,boston.craigslist.org/gbs/fuo/4262448397.html,2014/01/02,0
Dec 28,$199,Mid-Century Modern Couch Designer Eames Retro Office Furniture,antiques - by owner,boston.craigslist.org/gbs/atq/4262649177.html,2014/01/02,0
Dec 28,$550,Leather Reclining Sofa / Couch - Dual power recliners,furniture - by owner,boston.craigslist.org/bmw/fuo/4262785137.html,2014/01/02,0
Dec 28,$750,Black Leather Couch and Recliner,furniture - by owner,boston.craigslist.org/bmw/fuo/4262945999.html,2014/01/02,0
Dec 29,$170,Pottery Barn Couch and Armchair!,furniture - by owner,boston.craigslist.org/gbs/fuo/4263189922.html,2014/01/02,0
Dec 31,$375,Magnificent Victorian Couch,furniture - by owner,boston.craigslist.org/nos/fuo/4263235436.html,2014/01/02,0
Dec 29,$100,FUTON COUCH BED,furniture - by owner,boston.craigslist.org/gbs/fuo/4263358684.html,2014/01/02,0
Dec 31,$80,"Black Comfy Couch, in good shape,  Made of pleather",furniture - by owner,boston.craigslist.org/gbs/fuo/4263387273.html,2014/01/02,0
Dec 29,$100,Couch and over-sized chair,furniture - by owner,boston.craigslist.org/gbs/fuo/4263659203.html,2014/01/02,0
Dec 29,$150,Click clack couch/futon,furniture - by owner,boston.craigslist.org/gbs/fuo/4263798523.html,2014/01/02,0
Dec 30,$600,Leather sectional couch,furniture - by owner,boston.craigslist.org/nos/fuo/4264657655.html,2014/01/02,0
Dec 30,$200,Outdoor couch,furniture - by owner,boston.craigslist.org/gbs/fuo/4264905289.html,2014/01/02,0
Dec 30,$650,Vintage Couch,antiques - by owner,boston.craigslist.org/gbs/atq/4265095862.html,2014/01/02,0
Dec 30,$150,Green Leather Couch (2),furniture - by owner,boston.craigslist.org/gbs/fuo/4265348552.html,2014/01/02,0
Dec 30,$175,"Beautiful couch, only 2yrs old ",furniture - by owner,boston.craigslist.org/gbs/fuo/4265443080.html,2014/01/02,0
Dec 30,$1075,Ethan Allen couch and wing chair new lower price,furniture - by owner,boston.craigslist.org/sob/fuo/4265569684.html,2014/01/02,0
Dec 30,$80,Couch and love seat- good condition,furniture - by owner,boston.craigslist.org/nwb/fuo/4265670207.html,2014/01/02,0
Dec 30,$200,Couch and Lovesear,furniture - by owner,boston.craigslist.org/bmw/fuo/4265702064.html,2014/01/02,0
Dec 30,$150,Beautiful Blue couch,furniture - by owner,boston.craigslist.org/sob/fuo/4265785063.html,2014/01/02,0
Jan  2,$400,ETHAN ALLEN Couch - traditional classics,furniture - by owner,boston.craigslist.org/gbs/fuo/4265866586.html,2014/01/02,0
Dec 31,$400,Crate & Barrel Couch & Chaise Lounge,furniture - by owner,boston.craigslist.org/sob/fuo/4266115622.html,2014/01/02,0
Dec 31,$900,Leather Couch,furniture - by owner,boston.craigslist.org/bmw/fuo/4266656686.html,2014/01/02,0
Dec 31,$1000,Leather Couch in Good Condition,furniture - by owner,boston.craigslist.org/gbs/fuo/4266668993.html,2014/01/02,0
Dec 31,$2400,Round Outdoor Furniture Set - Resin Wicker Sectional Couch,furniture - by owner,boston.craigslist.org/sob/fuo/4266709009.html,2014/01/02,0
Dec 31,$250,Nice couch and love seat set for sale,furniture - by owner,boston.craigslist.org/gbs/fuo/4266710793.html,2014/01/02,0
Dec 31,$200,Boston Interiors Couch ,furniture - by owner,boston.craigslist.org/sob/fuo/4266847495.html,2014/01/02,0
Jan  1,$350, Great BROYHILL Couch & Matching Love seat! 2 for the price of 1!!,furniture - by owner,boston.craigslist.org/gbs/fuo/4267426901.html,2014/01/02,0
Jan  1,$150,Green leather couch (2),furniture - by owner,boston.craigslist.org/gbs/fuo/4267546504.html,2014/01/02,0
Jan  1,$150,"Couch, Loveseat and Side tables",furniture - by owner,boston.craigslist.org/gbs/fuo/4267571408.html,2014/01/02,0
date,price,title,type,url,date_ran,query_id
Dec 29,$250,Brown Leather Couch ,furniture - by owner,boston.craigslist.org/sob/fuo/4264290598.html,2014/01/02,0
Jan  1,$1300,"Rattan Sectional Couch, Chair/Ottoman, Table Set - Jordan's",furniture - by owner,boston.craigslist.org/sob/fuo/4264894973.html,2014/01/02,0
Dec 26,$250,Brown Leather Couch (IKEA),furniture - by owner,boston.craigslist.org/gbs/fuo/4259041301.html,2014/01/02,0
Dec 31,$65,Solid wood couch with red cushions ,furniture - by dealer,boston.craigslist.org/gbs/fud/4259706675.html,2014/01/02,0
Dec 26,$1,"Wooden Table, Chairs, Couch, armchair, LV damier Canvas Imitation",furniture - by owner,boston.craigslist.org/gbs/fuo/4259784881.html,2014/01/02,0
Dec 30,$400,Crate & Barrel Couch (brown Axis),furniture - by owner,boston.craigslist.org/gbs/fuo/4265846364.html,2014/01/02,0
Dec 31,$1500,"Gorgeous, comfy L-couch - Pristine Condition",furniture - by owner,boston.craigslist.org/bmw/fuo/4266364457.html,2014/01/02,0
Dec 31,$95,Baby Blue Microfiber Lg 3 Cushion Couch,furniture - by owner,boston.craigslist.org/nos/fuo/4266601015.html,2014/01/02,0
Jan  2,$150,Brown wall couch perfect for space saving city apartments,furniture - by owner,boston.craigslist.org/bmw/fuo/4269723164.html,2014/01/02,0
Dec 26,$700,Gorgeous Velvet Upholstery Couch,furniture - by owner,boston.craigslist.org/sob/fuo/4215731795.html,2014/01/02,0
Dec 29,$3500,Modern Roche Bobois Couch-Chairs,furniture - by owner,boston.craigslist.org/gbs/fuo/4224139355.html,2014/01/02,0
Dec 31,$200,Ethan Allen couch table,furniture - by owner,boston.craigslist.org/gbs/fuo/4252348049.html,2014/01/02,0
Jan  1,$1100,LA-Z-BOY Reclining Couch & Love Seat Set,furniture - by owner,boston.craigslist.org/sob/fuo/4254264207.html,2014/01/02,0
Dec 26,$40,Couch for Sale $40 OBO,furniture - by owner,boston.craigslist.org/gbs/fuo/4259213372.html,2014/01/02,0
